,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,3.48,0.4880966183574879,505.18,0.7257650899934808,0.4880966183574879,0.013021519543258675,0.6600254412203705,1.5729468599033813
STDs,0.0,0.5046720495044484,0.011900214172219174,12.31672166824684,0.019366654331585725,0.011900214172219169,0.00042289660198696047,0.006752318230162338,0.018607450487426284
Means,2.0,3.64,0.4038647342995169,418.0,0.6476005283993718,0.40386473429951686,0.015569169960474307,0.612091715718256,1.6850434782608692
STDs,0.0,0.4848732213850612,0.023014398550573228,23.819902499843295,0.03104328325765407,0.02301439855057323,0.000839703691187634,0.012103918519244396,0.036946962412255896
Means,2.32,4.12,0.48179797979797967,476.98,0.7453947318089973,0.4817979797979797,0.014645525017618042,0.6414543416959375,1.6297575757575755
STDs,0.47121207149916117,0.558423436734059,0.012063509324262528,11.942874231019902,0.022940661865754934,0.012063509324262537,0.0008976696513889134,0.012027889926818549,0.0385997950097233
Means,,,0.0,0.0,,,,,
STDs,,,0.0,0.0,,,,,
