,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.0,0.6300805152979068,652.1333333333333,0.6837686272480287,0.6300805152979068,0.00840726101595667,0.7358795342804668,1.3699194847020937
STDs,0.0,0.0,0.011570407296661634,11.975371552044798,0.01168452143364143,0.011570407296661627,0.0002629638021968554,0.0062180582780918875,0.011570407296661634
Means,2.0,2.0,0.761803542673108,788.4666666666667,0.7839889381314294,0.7618035426731079,0.005413555848338456,0.8129159850416408,1.2381964573268922
STDs,0.0,0.0,0.007831168988409297,8.10525990300361,0.007160618080152746,0.007831168988409276,0.00017798111337293817,0.004990236104749589,0.007831168988409257
Means,2.0,2.0,0.7185858585858586,711.4,0.7409488711638849,0.7185858585858587,0.006544514916607939,0.7855471343402834,1.2814141414141416
STDs,0.0,0.0,0.005273573102282604,5.220837371259791,0.005901910610854176,0.005273573102282592,0.00012264123493680514,0.003159988922038462,0.005273573102282616
