,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.0,0.7267878787878788,719.52,0.7782134049908196,0.7267878787878789,0.006353770260747005,0.7947871186312608,1.2732121212121212
STDs,0.0,0.0,0.025448622242457454,25.194136020032882,0.02660208697744674,0.025448622242457464,0.0005918284242431971,0.01617013466821879,0.025448622242457464
Means,2.0,2.24,0.7211163812033378,744.5,0.7747780038875568,0.7211163812033378,0.00636487217983679,0.7905762950075315,1.2796179183135705
STDs,0.0,0.4314191105869,0.03889581105720018,42.52358289279981,0.030263257651193372,0.03889581105720011,0.0009182521450415817,0.024399440955211807,0.03999557503615522
Means,2.0,2.14,0.6266596398770311,642.16,0.6912487894025638,0.6266596398770313,0.008531441819611688,0.7349022337934792,1.3735915678524373
STDs,0.0,0.3505098327538656,0.021436745591858965,18.012875213840452,0.01703397853241977,0.02143674559185895,0.00045193905434470007,0.01146553305408868,0.021620381923580723
