,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.0,0.748,740.52,0.8004683903674654,0.748,0.00586046511627907,0.8095660194041682,1.252
STDs,0.0,0.0,0.04155154664625049,41.13603117978799,0.038077331456345766,0.04155154664625046,0.0009663150382848953,0.026853668919728037,0.041551546646250506
Means,1.98,2.0,0.7586086956521738,785.16,0.7968235719072606,0.7586086956521737,0.005486166007905138,0.8134006919717056,1.2413913043478262
STDs,0.1414213562373095,0.0,0.022276047275798825,23.055708930451786,0.016848354019014303,0.022276047275798787,0.0005062738017227005,0.013793826393480074,0.022276047275798835
Means,2.0,2.0,0.7236363636363637,716.4,0.7754432172903054,0.7236363636363637,0.006427061310782241,0.793759737166139,1.2763636363636364
STDs,0.0,0.0,0.05339261336982367,52.85868723612544,0.061202503558351294,0.05339261336982368,0.0012416886830191557,0.03466375426811568,0.05339261336982369
