,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,3.34,0.5195169082125604,537.7,0.7490684910920952,0.5195169082125604,0.011812472551602986,0.6805145890630213,1.5197487922705315
STDs,0.0,0.4785181206984065,0.009666271287893987,10.00459078297028,0.02501442375221849,0.009666271287893994,0.00047488243976209147,0.007906912972267097,0.02089482734953202
Means,2.0,3.58,0.2767272727272727,273.96,0.5079078762085659,0.27672727272727277,0.019649048625792812,0.5515589231462782,1.844909090909091
STDs,0.0,0.49856938190328987,0.01937490476607031,19.181155718409606,0.02355181704009836,0.01937490476607031,0.0011246866386237717,0.013914624324270174,0.04836152546082215
