,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,3.02,0.5578585858585858,552.28,0.7002185358715025,0.5578585858585858,0.010654451491660794,0.7019417701413438,1.458141414141414
STDs,0.0,0.14142135623730948,0.02437095727388899,24.127247701150104,0.020378836174908235,0.024370957273888966,0.0007897110193808735,0.014884151458656143,0.03395757383337755
Means,2.0,3.0,0.5765990338164252,596.78,0.7376946864612204,0.5765990338164251,0.009835309617918316,0.7150495202670412,1.432753623188406
STDs,0.0,0.0,0.018295937121000125,18.93629492023512,0.017805086514045748,0.01829593712100012,0.0004477673404913943,0.010393149865622436,0.019701762981621337
Means,2.0,2.9,0.6404444444444445,634.04,0.8116515367643633,0.6404444444444445,0.008622973925299508,0.7512886060853003,1.3707878787878789
STDs,0.0,0.36421567954234174,0.05055118898506404,50.0456770952134,0.02587558028811516,0.050551188985064076,0.0012557380484931437,0.028309098758862356,0.05399673608520517
