,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,3.0,0.5682222222222223,562.54,0.7332106544524305,0.5682222222222223,0.010364106178059667,0.7097309112904093,1.4456565656565659
STDs,0.0,0.0,0.017543254064654547,17.36782152400801,0.01031718986784238,0.017543254064654547,0.0004733724984277628,0.009014800888181337,0.0203550174323938
Means,2.0,3.0,0.6189978041282389,638.94,0.7720419531352134,0.6189978041282389,0.008812799379027892,0.7396371803465464,1.3872463768115944
STDs,0.0,0.0,0.00934780330109976,8.469416769067589,0.02038212177189445,0.009347803301099763,0.00024065590091437746,0.005414511500700178,0.011209048234598269
Means,2.0,3.0,0.663747913921827,681.0,0.780063396908046,0.663747913921827,0.007743961352657004,0.7633678432458602,1.3391585419411507
STDs,0.0,0.0,0.022460727911126757,26.048620160094814,0.03151254510786966,0.022460727911126764,0.0005103143561898137,0.013407122931480551,0.02224890801404899
