,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.3,0.7038787878787879,696.84,0.799824208203214,0.7038787878787879,0.0068964059196617335,0.7858364861977282,1.2965454545454547
STDs,0.0,0.4629100498862757,0.034968519278720654,34.61883408593345,0.024961935789898696,0.034968519278720626,0.0008177334264746349,0.020913140830796605,0.03516253733840932
Means,2.0,2.0,0.5212929292929293,516.08,0.5664068400374936,0.5212929292929293,0.011132722574583039,0.6802362076088947,1.4787070707070706
STDs,0.0,0.0,0.016795743374942024,16.627785941192606,0.01771520182980551,0.016795743374942024,0.0003905986831381868,0.007866302748987808,0.016795743374942038
