,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,1.0,2.0,0.29344927536231885,303.72,0.4259889048936087,0.2934492753623188,0.016057971014492755,0.5930695787511407,1.7065507246376814
STDs,0.0,0.0,0.011618889883089277,12.0255510289974,0.019908894468049762,0.01161888988308927,0.00026406567916112037,0.0038600201318765284,0.011618889883089263
Means,1.54,2.54,0.26405797101449274,273.3,0.3701260189133426,0.2640579710144927,0.016966622749231445,0.5783208047586558,1.7465314009661832
STDs,0.5034574339058885,0.5034574339058885,0.009682025636802018,10.02089653409009,0.05986017540843902,0.009682025636802023,0.00040769880915392346,0.007115532826007612,0.017938747602772594
Means,1.4,2.4,0.2957487922705314,306.1,0.42368781345198003,0.29574879227053136,0.016092226613965744,0.5937719340985924,1.7080579710144925
STDs,0.4948716593053935,0.4948716593053935,0.01910678840566891,19.775525999867327,0.07366349361758215,0.019106788405668904,0.00045260055695079375,0.007911828815496487,0.01991442450583492
