,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,1.0,2.0,0.32573913043478264,337.14,0.41177129492115677,0.32573913043478264,0.015324110671936756,0.6040647131228155,1.6742608695652175
STDs,0.0,0.0,0.013056449197808356,13.513424919731655,0.03360056570821506,0.013056449197808361,0.0002967374817683721,0.0047295297713611534,0.013056449197808385
Means,2.0,3.2,0.26099165568730787,269.68,0.31148679359085774,0.2609916556873078,0.017452972597563093,0.5702657482446855,1.7671805006587615
STDs,0.0,0.40406101782088427,0.012410412794777304,13.49291575272758,0.030638290138897815,0.012410412794777299,0.0006971173357397921,0.00904947420800877,0.029433613889245147
Means,1.0,2.0,0.23652173913043475,244.8,0.45213480510763726,0.23652173913043475,0.017351778656126485,0.5749792110759061,1.763478260869565
STDs,0.0,0.0,0.0384491615914091,39.79488224710842,0.015988770474179875,0.03844916159140911,0.0008738445816229339,0.01199147038105046,0.03844916159140909
