,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,1.1,2.0,0.8741919191919191,865.45,0.8847916298090185,0.8741919191919191,0.0029257693211181576,0.8926088843522866,1.1258080808080808
STDs,0.3077935056255462,0.0,0.010955240365626272,10.845687961970002,0.009125484970259348,0.010955240365626208,0.0002547730317587504,0.008121736020990132,0.010955240365626265
Means,1.1,2.0,0.9008695652173913,932.4,0.9056471453855162,0.900869565217391,0.00225296442687747,0.9124731420850176,1.0991304347826087
STDs,0.30779350562554625,0.0,0.006081667254245288,6.29452560814387,0.005168493899062038,0.006081667254245321,0.00013821971032375625,0.004770206838977069,0.006081667254245288
Means,1.15,2.0,0.82,811.8,0.8395007496954969,0.8200000000000001,0.004186046511627907,0.8536909300237199,1.1800000000000002
STDs,0.36634754853252327,0.0,0.011681737103617657,11.564919732581483,0.008797090034766185,0.011681737103617662,0.0002716683047352942,0.007722514629216032,0.01168173710361771
