,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.0,0.6325656565656567,626.24,0.6849279588011903,0.6325656565656567,0.008544984731031243,0.7394265526569894,1.3674343434343432
STDs,0.0,0.0,0.04163981131387172,41.22341320073299,0.037602317292836716,0.04163981131387171,0.0009683677049737605,0.021849489161177293,0.041639811313871726
Means,2.0,2.0,0.6052323232323232,599.18,0.6512590128173552,0.6052323232323232,0.009180643645759927,0.7216158572841351,1.3947676767676769
STDs,0.0,0.0,0.01932619110634974,19.132929195286245,0.0224987441399535,0.01932619110634975,0.0004494463047988313,0.010670150937074825,0.019326191106349755
