,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,3.0,5.0,0.5151903083996108,493.72,0.7968336477317841,0.5151903083996107,0.011810676246297346,0.5878282673139289,1.6277777777777778
STDs,0.0,0.0,0.024610319675886644,15.577377631602534,0.01896972954670104,0.024610319675886592,0.003054984859977472,0.039549834879948884,0.0007142492739258886
Means,2.88,4.32,0.20578341555085744,201.24,0.5019419020962621,0.20578341555085744,0.02661475217289171,0.48062190427192397,2.136826873385013
STDs,0.328260722659316,0.47121207149916117,0.015218276672308005,16.2072797954298,0.02266426610677463,0.015218276672308002,0.001755444996533412,0.0165709762260587,0.07383398397138823
