,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.92,0.5856969696969698,579.84,0.7542036408143075,0.5856969696969698,0.009867982147051917,0.7195994773811834,1.4243232323232322
STDs,0.0,0.27404751561786966,0.03212119915623698,31.799987164674604,0.015569531123889889,0.03212119915623694,0.0008850689345691907,0.018054139251433093,0.03805796418647518
Means,2.0,2.46,0.6168309178743961,638.42,0.7385697543485891,0.616830917874396,0.008727711901624946,0.7365148777887479,1.3840193236714975
STDs,0.0,0.5034574339058885,0.020375672376190465,21.088820909357135,0.02098822470877599,0.02037567237619048,0.0004665157903734799,0.011307504545102301,0.020526694776433138
Means,2.0,3.0,0.6687084801503406,653.6,0.8333563290882552,0.6687084801503405,0.007932749421121514,0.7686145347755388,1.3385017618040873
STDs,0.0,0.0,0.03499422438916184,43.2703886117544,0.030969329051856776,0.03499422438916185,0.0009047032533114771,0.02104957123149451,0.03668331824249435
