,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.0,0.7414545454545456,734.04,0.7995482850905766,0.7414545454545456,0.006012684989429176,0.805194062286997,1.2585454545454544
STDs,0.0,0.0,0.024772565205084432,24.52483955303359,0.023853371738490198,0.02477256520508444,0.000576106167560103,0.015564389009841272,0.024772565205084442
Means,2.0,2.0,0.7584541062801933,785.0,0.7987521596893704,0.7584541062801933,0.00548967940272288,0.8134843225312597,1.2415458937198067
STDs,0.0,0.0,0.020450251679726306,21.166010488516726,0.017411460324768622,0.020450251679726264,0.0004647784472665069,0.013287065578875273,0.020450251679726295
Means,1.98,2.0,0.7850909090909091,777.24,0.8190157201011377,0.7850909090909092,0.004997885835095137,0.8320821542894695,1.214909090909091
STDs,0.14142135623730948,0.0,0.04676240268069233,46.294778653885416,0.05270054192851041,0.046762402680692344,0.001087497736760287,0.03293982014864594,0.046762402680692323
