,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.75,4.85,0.5302753448102285,493.35,0.7647018165720825,0.5302753448102286,0.015539756613210953,0.6490679966732678,1.647953790395651
STDs,0.4442616583193193,0.7451598203705947,0.01988447158992525,11.735124962893954,0.03091865286667746,0.01988447158992525,0.00213804514795896,0.03061222537605232,0.09428368648076735
Means,2.15,4.1,0.38916117698726393,399.0,0.6623649313204963,0.38916117698726393,0.01719298648772865,0.5942101496583617,1.7533201581027664
STDs,0.36634754853252327,0.30779350562554625,0.019178114854007423,13.875385248326392,0.019646275304097516,0.019178114854007455,0.001154946068489784,0.016831908375112215,0.05474993721615541
Means,2.9411764705882355,4.588235294117647,0.4752865867982147,454.35,0.7600122940001307,0.4752865867982147,0.017302102951564095,0.5994106061154987,1.7679635913562044
STDs,0.24253562503633297,0.5072996561958923,0.021470114254316382,9.696852446460193,0.020502008057440794,0.021470114254316344,0.0023735824711806574,0.019856047111558476,0.05782436247889577
Means,,,0.0,0.0,,,,,
STDs,,,0.0,0.0,,,,,
