,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,1.0,2.0,0.2901256038647343,300.28,0.4215310140150698,0.2901256038647343,0.01613350900307422,0.5911479034123207,1.7098743961352656
STDs,0.0,0.0,0.028360301885545613,29.352912451539712,0.014049861292303427,0.02836030188554563,0.0006445523155805823,0.00957081550671827,0.02836030188554562
Means,2.16,3.58,0.20450417215634606,210.76,0.22399503950260788,0.20450417215634606,0.021237041803270316,0.5236235160000188,1.932216073781291
STDs,0.3703280399090206,0.49856938190328987,0.012485323787393792,13.49007193517983,0.02649271173378764,0.012485323787393794,0.0011391768165862626,0.012341328413643991,0.04875558182707356
Means,1.0,2.0,0.19866666666666666,205.62,0.5015704781805403,0.19866666666666663,0.01821212121212121,0.5625780745177495,1.8013333333333332
STDs,0.0,0.0,0.053510006474073654,55.38285670066623,0.050380260714577775,0.053510006474073654,0.0012161365107744007,0.016852187611444858,0.053510006474073654
