,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,3.0,0.4355776368334508,429.94,0.5285072336970981,0.4355776368334508,0.013755461592670897,0.6376691913234853,1.590741367159972
STDs,0.0,0.0,0.030000596916019938,27.909043227555312,0.027340567030099832,0.03000059691601995,0.0008531726678365826,0.014830980284524033,0.03799604050107873
Means,2.0,2.22,0.5831497584541062,603.56,0.6529347467173758,0.5831497584541063,0.00948001756697409,0.7122662163796848,1.4171207729468598
STDs,0.0,0.41845195759648035,0.047482289292458874,49.144169417694926,0.04109218525024239,0.0474822892924589,0.0010839005026046999,0.024357919160230838,0.0476916221146068
Means,2.0,3.1,0.313897233201581,322.52,0.4042675388339251,0.313897233201581,0.016384165211263287,0.58736251725677,1.717780412823891
STDs,0.0,0.3030457633656632,0.021306699543037485,24.90819060437095,0.021839212824303556,0.0213066995430375,0.0008902269165202396,0.01130636025844968,0.036163494642132483
