date,index,Brent Oil,Coin,Euro,USD,CPI,HOUSE,M1,M2,GDP,Gold,Agriculture,CoalMining,EstekrajeNaft,MahsolateFelezi,SayerMadan,Mansojat,Wood,paper,EntesharVaChap,FaravardehayeNafti,Lastic,FelezateAsasi,MashinAlat,DastgahayeBargi,VasayelErtebati,AbzaralatePezeshki,khodrosazi,GhandVaShekar,ChandReshteSanati,GazaeeBejozGhand,Daroee,Shimiyaee,KashiVaSeramik,Siman,KanehayeGeyreFelezi,SarmayeGozari,Bank,SayerMali,HamlVaNaghl,Bimeh,Amlakva,Rayaneh,FaniVaMohandesi,Mali,KanehayeFelezi
10/16/2011,-0.600092024,-0.420617934,0.420908189,-0.843107224,-0.644318722,-0.145443961,-0.244221594,-0.301925196,-0.452536207,-0.247795932,0.151545527,-0.09647532,-1.506061131,-0.119784093,0.064422232,-0.079147171,-0.103010402,-0.095977383,-0.182361408,-1.152439211,0.02899338,-0.250286135,-0.482475593,0.134550068,-0.268172049,-0.296680407,-0.031738025,-0.261078926,-0.402214969,-0.197124482,-0.61798983,-0.332879686,-0.663953923,-0.240198546,-0.306593071,-0.761413293,-0.817628964,-0.796755248,-0.216085343,-0.181042425,-1.296812952,-0.740072245,-0.33278876,-0.087444814,-0.122683509,-0.122073489
10/17/2011,-0.150913537,0.192351406,-0.550258444,-0.315620338,-0.380659731,-0.144015738,-0.157665508,-0.295719546,-0.446549417,-0.245708019,0.267477021,-0.056434818,0.082862679,0.729625717,0.234853603,-0.079147171,-0.103010402,-1.279305135,-0.170951324,0.300646357,0.003018352,0.052925814,-0.159627996,0.161892283,-0.205177036,-0.752650125,-0.031738025,0.315058431,0.865879511,-0.091733013,-0.176930527,-0.291541638,-0.135235534,-0.036878875,-0.238654417,0.286221618,-0.365675753,-0.186478846,0.320232248,-0.619251603,-0.231298561,-0.032041925,1.079296497,-0.111633459,-0.028582175,-0.120007665
10/18/2011,0.018831199,0.450560714,-0.555343178,-0.095359789,-0.292285702,-0.380931986,-0.15792378,-0.289512581,-0.440569847,-0.494460682,0.346368817,-1.662235497,0.157538469,-0.046881058,-0.266021259,-0.079147171,-4.564599096,-0.22103853,-0.173472237,-0.038988618,-0.020914208,0.24765538,-0.129295312,-0.32111788,0.14399936,0.128141959,-0.031738025,-0.109135799,1.046746728,-0.001510652,-0.19370274,0.08899318,0.386458309,-0.02634062,-0.51265588,0.210929482,-0.222581528,0.197164981,0.19738121,-0.141376187,0.492029077,-0.018167377,1.761046129,0.009189211,0.024523711,-0.159386154
10/19/2011,-0.344002517,-0.052614045,-0.361561257,0.18817523,0.247348372,0.957682952,-0.158181618,-0.28739404,0.167302877,-0.237299272,0.186490677,-0.09647532,0.118708296,-0.226059956,-0.641802723,-0.079147171,0.984827026,-0.075837879,-0.379981267,-0.007857128,0.09719137,-0.238710683,-0.399778943,-0.186946432,0.183477893,-0.37239867,-0.031738025,-0.259863671,0.682295633,-0.188013202,-0.244047842,0.094193897,-0.163340453,0.736579385,-0.617824481,0.016362806,0.064428997,-0.39731567,-0.275107596,-0.041052812,0.612447393,0.009563972,-1.118697236,-0.184172702,-0.051770197,-0.082713786
10/22/2011,-0.496988524,-0.300596232,1.111747432,0.421011382,0.156292823,-0.130106582,-0.158439022,-0.220823147,2.075958883,-0.235183222,0.186141162,-0.09647532,-0.117041866,-0.136786805,0.635693801,-0.079147171,-0.103010402,1.127027188,0.140133578,0.213214503,-0.016977171,0.085617324,-0.353432191,-0.412483649,-0.033286776,-0.593278511,-0.031738025,-0.323987202,1.343842977,-0.598933533,-0.648487263,-0.166592513,-0.107130615,0.662911438,-0.274416381,0.064035317,-0.287700662,-0.456668302,-0.529319857,-0.030640932,0.536860588,-0.213033656,-0.911659782,-0.111740934,-0.063897136,-0.125202866
10/23/2011,-0.752680967,-0.175808924,0.893607159,0.416609776,0.377075882,-0.127169969,0.235911445,-0.252454036,-0.419428375,-0.233061792,-0.41296694,-0.09647532,-1.527621585,-0.609071954,-1.316716176,-0.079147171,-0.07672326,-0.075837879,-0.06851998,-0.05263171,-0.113126169,-0.020581956,-0.367135297,-0.525626617,-0.077598627,0.023857234,-0.031738025,-0.452347232,1.369911916,-0.810204098,-0.550378121,-0.706927409,-0.163340453,-1.394588889,-0.621515778,-0.756233109,-0.773354878,-0.439233957,-0.903505503,-0.037585097,-0.082314401,-0.773871964,-1.650647139,-0.575242833,-0.072748947,-0.123136523
10/24/2011,0.02378571,-0.616712635,2.067725491,0.028682872,0.021104931,-0.124239712,-0.159464333,-0.246437843,-0.427081349,-0.230935069,0.977928573,-0.09647532,-1.438809225,-0.083437263,1.020997436,-0.079147171,0.080676977,-0.250389681,0.829043028,-0.223458282,-0.042114432,0.158212544,0.269281338,-0.17956129,-0.210530329,0.061917926,-0.031738025,0.040344894,0.960864588,0.633132387,-0.007915843,-0.21429726,-0.198511039,-0.45231304,-0.205868927,-0.468636432,0.00024436,0.025990213,-0.281249409,-0.079315458,-0.442573782,-0.07373635,-0.424629242,-0.432690164,0.000275848,-0.10447658
10/25/2011,-0.181415385,-0.353349238,1.363500051,0.609497771,0.634812999,-0.121315833,-0.159719589,-0.240423015,-0.434724569,-0.449914814,0.997470958,-0.09647532,-0.034143271,-0.285353316,-0.312754805,-0.079147171,-0.103010402,-0.090698118,0.907083981,-0.046346336,-0.017635465,-0.187191847,-0.129814488,0.180056616,-0.096774312,-0.808477196,-0.031738025,0.047820652,1.140072144,-0.382701186,1.217475773,-0.107050478,0.502047414,-0.037295249,-0.171115879,0.090561115,-0.302164834,-0.090465859,-0.116008843,-0.041086102,0.059479829,-1.943682232,-0.280785288,-0.361082676,-0.016657176,-0.115882812
10/26/2011,-0.017642135,0.111443269,2.08319723,0.840740314,0.925834568,1.019217226,-0.15997442,-0.14130465,0.10327005,-0.222376954,0.907282844,-0.09647532,1.316421181,-0.17590878,-0.035552222,-0.079147171,-0.050631688,-0.075837879,0.966467952,-0.051745073,-0.016572364,-0.218917691,0.550316284,-0.309581171,-0.001419446,-0.282906499,-0.031738025,-0.048682681,-0.33936438,-0.319679835,1.257303523,-0.178544642,-0.170107567,-0.05870112,-0.345417233,0.113881994,-0.262963071,0.083842961,-0.381380618,-0.027158622,-0.30995952,-0.625916692,-0.326597104,-0.715567188,0.005332391,-0.080629724
10/29/2011,-0.294272105,-0.078935556,-3.189724276,0.174823753,-0.929874114,-0.109684556,-0.160228827,-0.216383802,-0.465205053,-0.220225058,0.899631621,-0.09647532,0.554890628,-0.194877186,0.414785988,-0.079147171,-0.103010402,-0.075837879,-0.148053042,-0.908027674,-0.033742426,-0.769069299,-0.326117842,-0.495639276,-0.045843305,-0.625758252,-0.031738025,-0.201078158,1.258127115,-0.243882479,1.166298593,-0.584695843,-0.232965598,-0.143828755,-0.206137463,-0.273659612,-0.223568334,-0.1872486,-0.210451662,-0.037606136,-0.340810112,-0.087810685,-0.308982666,-0.444096,-0.03254391,-0.069242517
