,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,3.54,0.4967536231884058,514.14,0.7648507501590036,0.49675362318840577,0.013023715415019765,0.6625225492393443,1.5730434782608698
STDs,0.0,0.5034574339058885,0.014913233806836648,15.435196990075926,0.014340256277739874,0.01491323380683666,0.0010237860859725965,0.016407999953593558,0.045046587782794245
Means,2.0,3.66,0.4405428194993412,455.06,0.6799634259233823,0.44054281949934115,0.014286076130363291,0.6346140079828841,1.6280931049626701
STDs,0.0,0.4785181206984065,0.023699943201596064,22.50388628568816,0.01526669070769959,0.023699943201596064,0.0009874120530392004,0.015851668929055818,0.04448820433685821
Means,2.4,3.98,0.49333333333333335,488.4,0.7404310280976922,0.4933333333333333,0.014388066713648109,0.6479484754256063,1.6186868686868687
STDs,0.4948716593053935,0.6848208465261076,0.014759584210621726,14.611988368515512,0.022810879537061537,0.014759584210621731,0.001251906526658737,0.017459129977493996,0.05383198064632569
Means,,,0.0,0.0,,,,,
STDs,,,0.0,0.0,,,,,
