,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,1.9,2.02,0.7006464646464647,693.64,0.7710631231648819,0.7006464646464647,0.006962179938924125,0.7803077945503822,1.2993737373737375
STDs,0.3030457633656632,0.1414213562373095,0.026306798872904366,26.04373088417531,0.024178314496735444,0.026306798872904366,0.0006126529560441623,0.01599650798346655,0.026344077109898983
Means,2.0,2.14,0.7211032059727712,744.52,0.7793764610649542,0.7211032059727712,0.00636908008293246,0.7909700874007497,1.2797856829161176
STDs,0.0,0.35050983275386566,0.03619416304510544,40.4309640887137,0.02312396149447936,0.03619416304510539,0.0008724472457659625,0.022274004738656542,0.037790959169252375
Means,2.0,2.14,0.5951058410188845,610.0,0.6648849421301878,0.5951058410188845,0.00926452594703353,0.7179202994542073,1.4055898111550287
STDs,0.0,0.3505098327538656,0.015170882196145354,17.854285485677707,0.020869755926874938,0.015170882196145333,0.00037354584496899145,0.008716808270050615,0.016602348345482257
