,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.1,0.6118585858585859,605.74,0.6799299232489149,0.6118585858585859,0.00903030303030303,0.7290353862650549,1.3883030303030301
STDs,0.0,0.3030457633656632,0.042272706953961674,41.849979884422055,0.03924065250716664,0.042272706953961674,0.0009853777971855192,0.02338828133214666,0.04237124527897731
Means,2.0,2.2,0.5850048309178744,605.48,0.6557821663338126,0.5850048309178745,0.009436539306104523,0.7129969175824562,1.415207729468599
STDs,0.0,0.40406101782088427,0.040842815921934526,42.27231447920224,0.03256029999827339,0.04084281592193457,0.0009317225404040315,0.020887078828879226,0.04099579177777741
Means,2.0,2.58,0.4431111111111111,438.68,0.5425744962594466,0.4431111111111112,0.013021376556260279,0.6469755310907326,1.5599191919191917
STDs,0.0,0.49856938190328987,0.03759479328001086,37.21884534721076,0.01982735789310788,0.03759479328001088,0.0009432227655172716,0.016108162139201368,0.04055857891724268
