,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,1.0,2.0,0.2782415458937198,287.98,0.507772831230338,0.2782415458937198,0.01640360122968819,0.590482367321196,1.7217584541062803
STDs,0.0,0.0,0.019342877175702742,20.019877876852334,0.02465861399637839,0.019342877175702745,0.0004396108449023352,0.00683158298907834,0.019342877175702742
Means,2.0,2.16,0.4064541062801933,420.68,0.45646949742570087,0.40645410628019313,0.01349407114624506,0.6327637436862078,1.5937391304347823
STDs,0.0,0.3703280399090206,0.020972211701062567,21.706239110599757,0.018319213725168867,0.020972211701062556,0.0004811985687653039,0.008515937341557556,0.02117273702567337
Means,1.0,2.0,0.3733140096618358,386.38,0.5082168628160674,0.3733140096618358,0.014242863416776464,0.6245430161547587,1.6266859903381643
STDs,0.0,0.0,0.010493425031567973,10.860694907672851,0.02116672156316553,0.01049342503156797,0.00023848693253563594,0.004158365489968137,0.010493425031567971
