,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,2.0,0.6720202020202021,665.3,0.7196975899725817,0.6720202020202021,0.007627437162320883,0.7611454144841626,1.3279797979797978
STDs,0.0,0.0,0.036773186717473524,36.40545485029878,0.026773199392701248,0.03677318671747352,0.0008551903887784537,0.019394096860140077,0.03677318671747351
Means,2.0,2.0,0.6003838383838385,594.38,0.6446768837508291,0.6003838383838385,0.009293399107352596,0.7191102602659981,1.3996161616161618
STDs,0.0,0.0,0.021252712191325115,21.040185069411866,0.023678180849230675,0.021252712191325115,0.0004942491207284909,0.011689715332115155,0.021252712191325126
