,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,1.98,2.04,0.3447536231884058,356.82,0.5461061138194612,0.34475362318840574,0.01489328063241107,0.6151681037402498,1.655304347826087
STDs,0.1414213562373095,0.19794866372215744,0.025271761260205784,26.156272904312992,0.024381550160550727,0.02527176126020579,0.0005750751244171601,0.010073525762572654,0.025303305474355022
Means,2.0,2.14,0.4282512077294687,443.24,0.4751644393990563,0.42825120772946845,0.012998243302591129,0.6418008176455204,1.57192270531401
STDs,0.0,0.3505098327538656,0.020612228463901355,21.333656460137902,0.020865896756857828,0.02061222846390134,0.00047276407049471795,0.008674455534029988,0.02080161910176756
Means,1.0,2.0,0.3932753623188405,407.04,0.5417074869088296,0.3932753623188405,0.01378919631093544,0.6339685495478627,1.6067246376811597
STDs,0.0,0.0,0.011301238016343506,11.696781346915527,0.016979482893925202,0.011301238016343496,0.0002568463185532612,0.004510393660083407,0.01130123801634351
