,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,1.0,2.0,0.3358067632850241,347.56,0.4471338165009363,0.3358067632850241,0.015095300834431271,0.6084415099859397,1.6641932367149759
STDs,0.0,0.0,0.022017809120535095,22.788432439753823,0.02071153969189766,0.022017809120535074,0.0005004047527394341,0.007914805500863153,0.0220178091205351
Means,1.54,2.54,0.2767729468599034,286.46,0.39936675035382835,0.2767729468599034,0.016815107597716296,0.5822358409906898,1.7398647342995168
STDs,0.5034574339058885,0.5034574339058885,0.01648152189842095,17.058375164865677,0.06528753762196454,0.01648152189842094,0.0006109193297095149,0.01015213183055984,0.026880450507218677
Means,1.4,2.3,0.3307826086956522,342.36,0.4437433567027227,0.3307826086956522,0.01524110671936759,0.6075857035984279,1.670608695652174
STDs,0.4948716593053935,0.4629100498862757,0.02023745010523945,20.94576085892283,0.05796242124844341,0.020237450105239453,0.0005050376453006067,0.00981544156549103,0.02222165639322672
