,radius,diameter,densities,number_of_edges,average_clustering,avg_degree_centrality,avg_betweenness_centrality,avg_closeness_centrality,average_shortest_path_length
Means,2.0,3.48,0.5090144927536232,521.42,0.769993212638495,0.5090144927536232,0.012651448764694468,0.6703290584485359,1.5540755379885816
STDs,0.0,0.5046720495044484,0.02553929817941661,19.39712791700285,0.01542261051026563,0.025539298179416622,0.0010909159778101027,0.01892989385612371,0.05031640520982207
Means,2.18,3.86,0.2554780361757106,249.74,0.4726465302286975,0.25547803617571063,0.021175341454411224,0.536305996860377,1.9052280949025135
STDs,0.38808793449160356,0.3505098327538656,0.021173151750333043,17.778466681663534,0.03659476460974725,0.021173151750333047,0.0009621810565992827,0.013008334787401639,0.04611150136931452
